"Code","Collect","Preface","Liturgical Date","Calendar Date","Hebrew Reading","Psalm Reading","Epistle Reading","Gospel Reading"
"epiphany5","Set us free, O God, from the bondage of our sins, and give us the liberty of that abundant life which you have made known to us in your Son our Savior Jesus Christ; who lives and reigns with you, in the unity of the Holy Spirit, one God, now and for ever.","epiphany","Fifth Sunday after the Epiphany","February 7, 2021","Isaiah 40:21-31","Psalm 147:1-11, 20c","1 Corinthians 9:16-23","Mark 1:29-39"
"epiphany6","O God, the strength of all who put their trust in you: Mercifully accept our prayers; and because in our weakness we can do nothing good without you, give us the help of your grace, that in keeping your commandments we may please you both in will and deed; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","epiphany",,,,,,
"epiphany7","O Lord, you have taught us that without love whatever we do is worth nothing: Send your Holy Spirit and pour into our hearts your greatest gift, which is love, the true bond of peace and of all virtue, without which whoever lives is accounted dead before you. Grant this for the sake of your only Son Jesus Christ, who lives and reigns with you and the Holy Spirit, one God, now and for ever.","epiphany",,,,,,
"epiphany8","Most loving Father, whose will it is for us to give thanks for all things, to fear nothing but the loss of you, and to cast all our care on you who care for us: Preserve us from faithless fears and worldly anxieties, that no clouds of this mortal life may hide from us the light of that love which is immortal, and which you have manifested to us in your Son Jesus Christ our Lord; who lives and reigns with you, in the unity of the Holy Spirit, one God, now and for ever.","epiphany",,,,,,
"epiphanylast","O God, who before the passion of your only-begotten Son revealed his glory upon the holy mountain: Grant to us that we, beholding by faith the light of his countenance, may be strengthened to bear our cross, and be changed into his likeness from glory to glory; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","epiphany","Transfiguration Sunday","February 14, 2021","2 Kings 2:1-12","Psalm 50:1-6","2 Corinthians 4:3-6","Mark 9:2-9"
"ashwednesday","Almighty and everlasting God, you hate nothing you have made and forgive the sins of all who are penitent: Create and make in us new and contrite hearts, that we, worthily lamenting our sins and acknowledging our wretchedness, may obtain of you, the God of all mercy, perfect remission and forgiveness; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","lent","Ash Wednesday","February 17, 2021","Joel 2:1-2, 12-17 or Isaiah 58:1-12","Psalm 51:1-17","2 Corinthians 5:20b-6:10","Matthew 6:1-6, 16-21"
"lent1","Almighty God, whose blessed Son was led by the Spirit to be tempted by Satan: Come quickly to help us who are assaulted by many temptations; and, as you know the weaknesses of each of us, let each one find you mighty to save; through Jesus Christ your Son our Lord, who lives and reigns with you and the Holy Spirit, one God, now and for ever.","lent","First Sunday in Lent","February 21, 2021","Genesis 9:8-17","Psalm 25:1-10","1 Peter 3:18-22","Mark 1:9-15"
"lent2","O God, whose glory it is always to have mercy: Be gracious to all who have gone astray from your ways, and bring them again with penitent hearts and steadfast faith to embrace and hold fast the unchangeable truth of your Word, Jesus Christ your Son; who with you and the Holy Spirit lives and reigns, one God, for ever and ever.","lent","Second Sunday in Lent","February 28, 2021","Genesis 17:1-7, 15-16","Psalm 22:23-31","Romans 4:13-25","Mark 8:31-38 or Mark 9:2-9"
"lent3","Almighty God, you know that we have no power in ourselves to help ourselves: Keep us both outwardly in our bodies and inwardly in our souls, that we may be defended from all adversities which may happen to the body, and from all evil thoughts which may assault and hurt the soul; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever.","lent","Third Sunday in Lent","March 7, 2021","Exodus 20:1-17","Psalm 19","1 Corinthians 1:18-25","John 2:13-22"
"lent4","Gracious Father, whose blessed Son Jesus Christ came down from heaven to be the true bread which gives life to the world: Evermore give us this bread, that he may live in us, and we in him; who lives and reigns with you and the Holy Spirit, one God, now and for ever.","lent","Fourth Sunday in Lent","March 14, 2021","Numbers 21:4-9","Psalm 107:1-3, 17-22","Ephesians 2:1-10","John 3:14-21"
