2021,Fixed Date,Movable Date,Order (BCP 15ff.),Code,Titles of Days (BCP 31ff.),Preface,Prepare,Hymn Ent,Greeting,Opening Prayer,Song of Praise,Psalm Style,Sequence,Hymn Seq,Homily,Creed,PoP,Confession,Peace,Announcements,Offertory,Hymn Offertory,Great Thanksgiving,Lord’s Prayer,Fraction,About Communion,Comm Hymn,Hymn Communion,Post-Communion,Blessing,Processional,Hymn Process,Dismissal,Postscript,Psalm,First Lesson,Second Lesson,Gospel,
12/27/20,,,205,christmas1,The First Sunday after Christmas Day,incarnation,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhearourprayer,he/confession,stt/2021/peace-covid,stt/announcements,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/xmas-short,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 147,Isaiah 61:10-62:3,Galatians 3:23-25, 4:4-7,John 1:1-18
12/28/20,,December 27,334,stjohn,"Saint John, Apostle and Evangelist",incarnation,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/trishagion,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,he/confession,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/thepeace,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 92,Exodus 33:18-23,1 John 1:1-9,John 21:19b-24,
12/29/20,,December 28,342,holyinnocents,The Holy Innocents,incarnation,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/trishagion,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,he/confession,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/thepeace,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 124,Jeremiah 31:15-17,Revelation 21:1-7,Matthew 2:13-18,
01/01/21,January 1,,301,holyname,The Holy Name of our Lord Jesus Christ,incarnation,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/trishagion,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,he/confession,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/thepeace,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 8,Numbers 6:22-27,Galatians 4:4-7,Luke 2:15-21,
01/03/21,,,206,christmas2,The Second Sunday after Christmas Day,incarnation,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhearourprayer,he/confession,stt/2021/peace-covid,stt/birthdaysanniversaries,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/xmas-short,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 84,Jeremiah 31:7-14,"Ephesians 1:3-6, 15-19a","Matthew 2:13-15, 19-23",
01/06/21,January 6,,114,epiphany,"The Epiphany, or the Manifestation of our Lord Jesus Christ to the Gentiles",epiphany,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,he/confession,stt/2021/peace-covid,stt/announcements,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/epiphany-long,,,he/dismissal/goinpeace,stt/2021/postscript-covid,"Psalm 72:1-7, 10-14",Isaiah 60:1-6,Ephesians 3:1-12,Matthew 2:1-12,
01/10/21,,,211,epiphany1,The First Sunday after the Epiphany: The Baptism of Our Lord,epiphany,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalms/responsively,,,he/homily/brief,he/creed/baptismalvowsrenewal,he/pop/lordhavemercy,,stt/2021/peace-covid,stt/announcements,he/offertory,hymns/h-304-3vv,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/epiphany-long,he/processional,h-448,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 29,Genesis 1:1-5,Acts 19:1-7,Mark 1:4-11,
01/17/21,,,212,epiphany2,The Second Sunday after the Epiphany,epiphany,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhearourprayer,he/confession,stt/2021/peace-covid,stt/announcements,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/epiphany-short,,,he/dismissal/goinpeace,stt/2021/postscript-covid,"Psalm 139:1-5, 12-17",1 Samuel 3:1-20,1 Corinthians 6:12-20,John 1:43-51,
01/18/21,,January 18,313,confessionstpeter,The Confession of Saint Peter the Apostle,apostles,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/trishagion,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,he/confession,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/thepeace,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 23,Acts 4: 8-13,1 Peter 5:1-4,Matthew 16:13-19,
01/24/21,,,213,epiphany3,The Third Sunday after the Epiphany,epiphany,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhearourprayer,he/confession,stt/2021/peace-covid,stt/announcements,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/epiphany-short,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 62:6-14,"Jonah 3:1-5, 10",1 Corinthians 7:29-31,Mark 1:14-20,
