2021,Fixed Date,Movable Date,Order (BCP 15ff.),Code,Titles of Days (BCP 31ff.),Preface,Prepare,Hymn Ent,Greeting,Opening Prayer,Song of Praise,Psalm Style,Sequence,Hymn Seq,Homily,Creed,PoP,Confession,Peace,Announcements,Offertory,Hymn Offertory,Great Thanksgiving,Lord’s Prayer,Fraction,About Communion,Comm Hymn,Hymn Communion,Post-Communion,Blessing,Processional,Hymn Process,Dismissal,Postscript,Psalm,First Lesson,Second Lesson,Gospel,
04/03/21,,,101,eastervigil,The Great Vigil of Easter,easter,stt/2021/preparing-covid,he/eastervigil/lightingcandle,he/eastervigil/liturgyword,he/creed/baptismalvowsrenewal,he/eastervigil/transition,he/psalms/responsively,,he/eastervigil/greatalleluia,,,he/pop/lordhearourprayer,,stt/2021/peace-covid,stt/announcements,he/offertory,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/easter-long,he/processional,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 114,,Romans 6:3-11,Mark 16:1-8,
04/03/21,,,407,holysaturday,Holy Saturday,holyweek,stt/2021/preparing-covid,,he/greeting/blessthelord,he/collect-purity,he/songofpraise/lordhavemercy,he/psalms/responsively,,,he/homily/brief,he/holysaturday,,,,,,,,,,,,,,,,,,stt/2021/postscript-covid,"Psalm 31:1-4, 15-16",Job 14:1-14,1 Peter 4:1-8,Matthew 27:57-66,
04/04/21,,,501,eastereve,Easter Eve,easter,stt/2021/preparing-covid,,he/greeting/alleluia,he/collect-purity,he/songofpraise/trishagion,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/easter-short,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 114,Isaiah 25:6-9,1 Corinthians 5:6b-8,Luke 24:13-49,
04/04/21,,,104,resurrection3,"The Sunday of the Resurrection, or Easter Day",easter,stt/2021/preparing-covid,,he/greeting/alleluia,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalms/responsively,,,he/homily/brief,he/creed/baptismalvowsrenewal,he/pop/lordhearourprayer,,stt/2021/peace-covid,stt/announcements,he/offertory,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/easter-long,he/processional,,he/dismissal/goinpeace,stt/2021/postscript-covid,"Psalm 118:1-2, 14-24",Isaiah 25:6-9,Acts 10:34-43,Mark 16:1-8,
04/05/21,,,502,eastermonday,Monday in Easter Week,easter,stt/2021/preparing-covid,,he/greeting/alleluia,he/collect-purity,he/songofpraise/trishagion,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/easter-short,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 16:8-11,"Acts 2:14,22b-32",,Matthew 28:9-15,
04/06/21,,,503,eastertuesday,Tuesday in Easter Week,easter,stt/2021/preparing-covid,,he/greeting/alleluia,he/collect-purity,he/songofpraise/trishagion,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/easter-short,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 33:18-22,Acts 2:36-41,,John 20:11-18,
04/07/21,,,503,easterwednesday,Wednesday in Easter Week,easter,stt/2021/preparing-covid,,he/greeting/alleluia,he/collect-purity,he/songofpraise/trishagion,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/easter-short,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 105:1-8,Acts 3:1-10,,Luke 24:13-35,
04/08/21,,,505,easterthursday,Thursday in Easter Week,easter,stt/2021/preparing-covid,,he/greeting/alleluia,he/collect-purity,he/songofpraise/trishagion,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/easter-short,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 8,Acts 3:11-26,,Luke 24:36b-48,
04/09/21,,,506,easterfriday,Friday in Easter Week,easter,stt/2021/preparing-covid,,he/greeting/alleluia,he/collect-purity,he/songofpraise/trishagion,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/easter-short,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 116:1-8,Acts 4:1-12,,John 21:1-14,
04/10/21,,,507,eastersaturday,Saturday in Easter Week,easter,stt/2021/preparing-covid,,he/greeting/alleluia,he/collect-purity,he/songofpraise/trishagion,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/easter-short,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 118:14-18,Acts 4:13-21,,"Mark 16:9-15,20",
04/11/21,,,231,easter2,The Second Sunday of Easter,easter,stt/2021/preparing-covid,,he/greeting/alleluia,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhearourprayer,,stt/2021/peace-covid,stt/birthdaysanniversaries,he/offertory,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/easter-short,he/processional,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 133,Acts 4:32-35,1 John 1:1-2:2,John 20:19-31,
04/18/21,,,232,easter3,The Third Sunday of Easter,easter,stt/2021/preparing-covid,,he/greeting/alleluia,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhearourprayer,,stt/2021/peace-covid,stt/announcements,he/offertory,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/easter-short,he/processional,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 4,Acts 3:12-19,1 John 3:1-7,Luke 24:36b-48,
04/25/21,,,233,easter4,The Fourth Sunday of Easter,easter,stt/2021/preparing-covid,,he/greeting/alleluia,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhearourprayer,,stt/2021/peace-covid,stt/announcements,he/offertory,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/easter-short,he/processional,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 23,Acts 4:5-12,1 John 3:16-24,John 10:11-18,
04/26/21,,April 25,332,stmark,Saint Mark the Evangelist,allsaints,stt/2021/preparing-covid,,he/greeting/alleluia,he/collect-purity,he/songofpraise/trishagion,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/easter-short,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 2,Isaiah 52:7-10,"Ephesians 4:7-8,11-16",Mark 1:1-15,
05/01/21,,May 1,316,stsphilipjames,"Saint Philip and Saint James, Apostles",apostles,stt/2021/preparing-covid,,he/greeting/alleluia,he/collect-purity,he/songofpraise/trishagion,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/easter-short,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 119:33-40,Isaiah 30:18-21,2 Corinthians 4:1-6,John 14:6-14,
05/02/21,,,234,easter5,The Fifth Sunday of Easter,easter,stt/2021/preparing-covid,,he/greeting/alleluia,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhearourprayer,,stt/2021/peace-covid,stt/birthdaysanniversaries,he/offertory,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/easter-short,he/processional,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 22:24-30,Acts 8:26-40,1 John 4:7-21,John 15:1-8,
05/09/21,,,235,easter6,The Sixth Sunday of Easter,easter,stt/2021/preparing-covid,,he/greeting/alleluia,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhearourprayer,,stt/2021/peace-covid,stt/announcements,he/offertory,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/easter-short,he/processional,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 98,Acts 10:44-48,1 John 5:1-6,John 15:9-17,
05/13/21,,,105,ascension1,Ascension Day,ascension,stt/2021/preparing-covid,,he/greeting/alleluia,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/ascension-long,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 47,Acts 1:1-11,Ephesians 1:15-23,Luke 24:44-53,
05/16/21,,,236,easter7,The Seventh Sunday of Easter: The Sunday after Ascension Day,easter,stt/2021/preparing-covid,,he/greeting/alleluia,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhearourprayer,,stt/2021/peace-covid,stt/announcements,he/offertory,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessingascension-short,he/processional,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 1,"Acts 1:15-17, 21-26",1 John 5:9-13,John 17:6-19,
05/23/21,,,107,pentecost1,The Day of Pentecost: Whitsunday,pentecost,stt/2021/preparing-covid,,he/greeting/alleluia,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhearourprayer,,stt/2021/peace-covid,stt/announcements,he/offertory,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/pentecost-long,he/processional,,he/dismissal/goinpeace,stt/2021/postscript-covid,"Psalm 104:24-34, 35b",Ezekiel 37:1-14,Acts 2:1-21,John 15:26-27, 16:4b-15
05/30/21,,,109,trinity,The First Sunday after Pentecost: Trinity Sunday,trinity,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhearourprayer,he/confession,stt/2021/peace-covid,stt/announcements,he/offertory,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/trinity-long,he/processional,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 29,Isaiah 6:1-8,Romans 8:12-17,John 3:1-17,
05/31/21,,May 31,304,visitation,The Visitation of the Blessed Virgin Mary,epiphany,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/trishagion,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,he/confession,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/mary-short,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 113,1 Samuel 2:1-10,Romans 12:9-16b,Luke 1:39-57,
06/06/21,,,255,proper5,Proper 5,lordsday,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhearourprayer,he/confession,stt/2021/peace-covid,stt/birthdaysanniversaries,he/offertory,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/thepeace,he/processional,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 138,"1 Samuel 8:4-20, 11:14-15",2 Corinthians 4:13-5:1,Mark 3:20-35,
06/11/21,,June 11,317,stbarnabas,Saint Barnabas the Apostle,apostles,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/trishagion,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,he/confession,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/thepeace,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 112,Isaiah 42:5-12,Acts 11:19-30,13:1-3,Matthew 10:7-16
06/13/21,,,256,proper6,Proper 6,lordsday,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhearourprayer,he/confession,stt/2021/peace-covid,stt/announcements,he/offertory,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/thepeace,he/processional,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 20,1 Samuel 15:34-16:13,2 Corinthians 5:6-17,Mark 4:26-34,
06/20/21,,,257,proper7,Proper 7,lordsday,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhearourprayer,he/confession,stt/2021/peace-covid,stt/announcements,he/offertory,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/thepeace,he/processional,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 9:9-20,"1 Samuel 17:1a, 4-11, 19-23, 32-49",2 Corinthians 6:1-13,Mark 4:35-41,
06/24/21,,June 24,305,nativitystjohnbaptist,The Nativity of Saint John the Baptist,advent,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/trishagion,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,he/confession,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/thepeace,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 85,Isaiah 40:1-11,Acts 13:14b-26,Luke 1:57-80,
06/27/21,,,258,proper8,Proper 8,lordsday,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhearourprayer,he/confession,stt/2021/peace-covid,stt/announcements,he/offertory,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/thepeace,he/processional,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 130,"2 Samuel 1:1, 7-27",2 Corinthians 8:7-15,Mark 5:21-43,
06/29/21,,June 29,318,stspeterpaul,"Saint Peter and Saint Paul, Apostles",apostles,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/trishagion,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,he/confession,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/thepeace,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 87,Ezekiel 34:11-16,2 Timothy 4:1-8,John 21:15-19,
07/04/21,,,259,proper9,Proper 9,lordsday,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhearourprayer,he/confession,stt/2021/peace-covid,stt/birthdaysanniversaries,he/offertory,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/thepeace,he/processional,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 48,"2 Samuel 5:1-5, 9-10",2 Corinthians 12:2-10,Mark 6:1-13,
07/05/21,,July 4,348,independenceday,Independence Day,trinity,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,he/confession,stt/2021/peace-covid,stt/announcements,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/thepeace,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 145,Deuteronomy 10:17-21,Hebrews 11:8-16,Matthew 5:43-48,
07/11/21,,,260,proper10,Proper 10,lordsday,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhearourprayer,he/confession,stt/2021/peace-covid,stt/announcements,he/offertory,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/thepeace,he/processional,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 24,"2 Samuel 6:1-5, 12b-19",Ephesians 1:3-14,Mark 6:14-29,
07/18/21,,,261,proper11,Proper 11,lordsday,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhearourprayer,he/confession,stt/2021/peace-covid,stt/announcements,he/offertory,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/thepeace,he/processional,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 89:20-37,2 Samuel 7:1-14a,Ephesians 2:11-22,"Mark 6:30-34, 53-56",
07/22/21,,July 22,344,stmarymagdalene,Saint Mary Magdalene,allsaints,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/trishagion,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,he/confession,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/thepeace,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 42:1-7,"Judith 9:1,11-14",2 Corinthians 5:14-18,John 20:11-18,
07/25/21,,,262,proper12,Proper 12,lordsday,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhearourprayer,he/confession,stt/2021/peace-covid,stt/announcements,he/offertory,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/thepeace,he/processional,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 14,2 Samuel 11:1-15,Ephesians 3:14-21,John 6:1-21,
07/26/21,,July 25,319,stjames,Saint James the Apostle,apostles,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/trishagion,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,he/confession,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/thepeace,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 7:1-10,Jeremiah 45:1-5,Acts 11:27-12:3,Matthew 20:20-28,
08/01/21,,,263,proper13,Proper 13,lordsday,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhearourprayer,he/confession,stt/2021/peace-covid,stt/birthdaysanniversaries,he/offertory,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/thepeace,he/processional,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 51:1-13,2 Samuel 11:26 – 12:13a,Ephesians 4:1-16,John 6:24-35,
08/06/21,August 6,,306,transfiguration,The Transfiguration of Our Lord Jesus Christ,epiphany,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,he/confession,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/thepeace,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 99,Exodus 34:29-35,2 Peter 1:13-21,Luke 9:28-36,
08/08/21,,,264,proper14,Proper 14,lordsday,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhearourprayer,he/confession,stt/2021/peace-covid,stt/announcements,he/offertory,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/thepeace,he/processional,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 130,"2 Samuel 18:5-9, 15, 31-33",Ephesians 4:25-5:2,"John 6:35, 41-51",
08/15/21,,,265,proper15,Proper 15,lordsday,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhearourprayer,he/confession,stt/2021/peace-covid,stt/announcements,he/offertory,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/thepeace,he/processional,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 111,1 Kings 2:10-12, 3:3-14,Ephesians 5:15-20,John 6:51-58
08/16/21,,August 15,345,stmaryvirgin,"Saint Mary the Virgin, Mother of Our Lord Jesus Christ",incarnation,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/trishagion,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,he/confession,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/mary-long,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 34,Isaiah 61:10-11,Galatians 4:4-7,Luke 1:46-55,
08/22/21,,,266,proper16,Proper 16,lordsday,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhearourprayer,he/confession,stt/2021/peace-covid,stt/announcements,he/offertory,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/thepeace,he/processional,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 84,"1 Kings 8:1, 6, 10-11, 22-30, 41-43",Ephesians 6:10-20,John 6:56-69,
08/24/21,,August 24,320,stbartholomew,Saint Bartholomew the Apostle,apostles,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/trishagion,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,he/confession,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/thepeace,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 91,Deuteronomy 18:15-18,1 Corinthians 4:9-15,Luke 22:24-30,
08/29/21,,,267,proper17,Proper 17,lordsday,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhearourprayer,he/confession,stt/2021/peace-covid,stt/announcements,he/offertory,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/thepeace,he/processional,,he/dismissal/goinpeace,stt/2021/postscript-covid,"Psalm 45:1-2, 7-10",Song of Solomon 2:8-13,James 1:17-27,"Mark 7:1-8, 14-15, 21-23",
09/05/21,,,268,proper18,Proper 18,lordsday,,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhearourprayer,he/confession,he/peace,stt/birthdaysanniversaries,he/offertory,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion,,,he/postcommunion/eternal,he/blessing/thepeace,he/processional,,he/dismissal/goinpeace,stt/2021/postscript,Psalm 125,"Proverbs 22:1-2, 8-9, 22-23",James 2:1-17,Mark 7:24-37,
09/12/21,,,269,proper19,Proper 19,lordsday,,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhearourprayer,he/confession,he/peace,stt/announcements,he/offertory,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion,,,he/postcommunion/eternal,he/blessing/thepeace,he/processional,,he/dismissal/goinpeace,stt/2021/postscript,Psalm 19,Proverbs 1:20-33,James 3:1-12,Mark 8:27-38,
09/14/21,,September 14,307,holycross,Holy Cross Day,holyweek,,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/lordhavemercy,he/psalms/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,he/confession,he/peace,,he/offertory,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion,,,he/postcommunion/eternal,he/blessing/thepeace,,,he/dismissal/goinpeace,stt/2021/postscript,Psalm 98,Isaiah 45:21-25,Philippians 2:5-11,John 12:31-36a,
