2021,Fixed Date,Movable Date,Order (BCP 15ff.),Code,Preface,Prepare,HymnEntrance,Greeting,Collect for Purity,Song of Praise,Psalm,Sequence,Homily,Creed,Prayers,Confession,Peace,Announcements,Offertory,Great Thanksgiving,Lord’s Prayer,Fraction,About Communion,Communion Hymn,Post-Communion,Blessing,Procession,Dismissal,Postscript,Psalm,First Lesson,Second Lesson,Gospel
02/24/21,,February 24,315,stmatthias,apostles,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 15,Acts 1:15-26,Philippians 3:13b-21,"John 15:1,6-16"
02/28/21,,,222,lent2,lent,stt/2021/preparing-covid,,lent/penitentialorder,,,responsive,,,nicene,he/pop/lordhavemercy,,he/peace,,hymns/levas-184,he/lent/prayera,,,,Levas-1,eternalgod,lent1,Levas-1,letusgo,,Psalm 22:22-30,"Genesis 17:1-7, 15-16",Romans 4:13-25,Mark 8:31-38
03/07/21,,,223,lent3,lent,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 19,Exodus 20:1-17,1 Corinthians 1:18-25,John 2:13-22
03/14/21,,,224,lent4,lent,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,"Psalm 107:1-3, 17-22",Numbers 21:4-9,Ephesians 2:1-10,John 3:14-21
03/19/21,,March 19,343,stjoseph,epiphany,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 89:1-29,"2 Samuel 7:4,8-16",Romans 4:13-18,Luke 2:41-52
03/21/21,,,225,lent5,lent,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 51:1-13,Jeremiah 31:31-34,Hebrews 5:5-10,John 12:20-33
03/25/21,,March 25,303,annunciation,epiphany,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 45,Isaiah 7:10-14,Hebrews 10:4-10,Luke 1:26-38
03/28/21,,,226,palmsunday,holyweek,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 31:9-16,Isaiah 50:4-9a,Philippians 2:5-11,Mark 14:1-15:47
03/28/21,,,999,liturgyofpalms,,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,"Psalm 118:1-2, 19-29",,,Mark 11:1-11
03/29/21,,,402,holymonday,holyweek,stt/2021/preparing-covid,,,,,,,,,,,,,,,,,,,,,,,,Psalm 36:5-11,Isaiah 42:1-9,Hebrews 9:11-15,John 12:1-11
